url	Additional_Sort	GroupSort	Player_ID	Team_ID	Transaction_Date	Transaction_Description	Transaction_Type
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_re-signed_center_Walter_Tavares_to_a_Contract.2015-07-09	0.0	Signing 945012 	204002.0	1610612737.0	2015-07-09	Atlanta Hawks re-signed center Walter Tavares to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_re-signed_forward_Paul_Millsap_to_a_Contract.2015-07-09	0.0	Signing 944974 	200794.0	1610612737.0	2015-07-09	Atlanta Hawks re-signed forward Paul Millsap to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_re-signed_guard_Lamar_Patterson_to_a_Contract.2015-07-22	0.0	Signing 945329 	203934.0	1610612737.0	2015-07-22	Atlanta Hawks re-signed guard Lamar Patterson to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_received_center_Tiago_Splitter_from_San_Antonio_Spurs.2015-07-09	1610612759.0	Trade 2015001 	201168.0	1610612737.0	2015-07-09	Atlanta Hawks received center Tiago Splitter from San Antonio Spurs.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_received_guard_Kirk_Hinrich_from_Chicago_Bulls.2016-02-18	1610612741.0	Trade 2015034 	2550.0	1610612737.0	2016-02-18	Atlanta Hawks received guard Kirk Hinrich from Chicago Bulls.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_signed_forward_Kris_Humphries_to_a_Rest-of-Season_Contract.2016-03-01	0.0	Signing 972429 	2743.0	1610612737.0	2016-03-01	Atlanta Hawks signed forward Kris Humphries to a Rest-of-Season Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_signed_guard_Justin_Holiday_to_a_Contract.2015-07-09	0.0	Signing 945039 	203200.0	1610612737.0	2015-07-09	Atlanta Hawks signed guard Justin Holiday to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_signed_guard_Terran_Petteway_to_a_Contract.2015-07-23	0.0	Signing 945333 	1626189.0	1610612737.0	2015-07-23	Atlanta Hawks signed guard Terran Petteway to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_waived_center_Earl_Barron.2015-10-24	0.0	Waive 957994 	2853.0	1610612737.0	2015-10-24	Atlanta Hawks waived center Earl Barron.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_waived_forward_Arsalan_Kazemi.2015-10-10	0.0	Waive 957342 	203529.0	1610612737.0	2015-10-10	Atlanta Hawks waived forward Arsalan Kazemi.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_waived_forward_Austin_Daye.2015-07-09	0.0	Waive 944932 	201948.0	1610612737.0	2015-07-09	Atlanta Hawks waived forward Austin Daye.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_waived_forward_DeQuan_Jones.2015-10-24	0.0	Waive 957995 	203199.0	1610612737.0	2015-10-24	Atlanta Hawks waived forward DeQuan Jones.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_waived_guard_Edgar_Sosa.2015-10-10	0.0	Waive 957343 	1626293.0	1610612737.0	2015-10-10	Atlanta Hawks waived guard Edgar Sosa.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_waived_guard_Jason_Richardson.2015-09-25	0.0	Waive 946185 	2202.0	1610612737.0	2015-09-25	Atlanta Hawks waived guard Jason Richardson.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Atlanta_Hawks_waived_guard_Terran_Petteway.2015-10-22	0.0	Waive 957767 	1626189.0	1610612737.0	2015-10-22	Atlanta Hawks waived guard Terran Petteway.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_re-signed_forward_Jae_Crowder_to_a_Contract.2015-07-27	0.0	Signing 945515 	203109.0	1610612738.0	2015-07-27	Boston Celtics re-signed forward Jae Crowder to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_re-signed_forward_Jonas_Jerebko_to_a_Contract.2015-07-09	0.0	Signing 945022 	201973.0	1610612738.0	2015-07-09	Boston Celtics re-signed forward Jonas Jerebko to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_re-signed_forward_Jordan_Mickey_to_a_Contract.2015-07-19	0.0	Signing 945298 	1626175.0	1610612738.0	2015-07-19	Boston Celtics re-signed forward Jordan Mickey to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_re-signed_guard_RJ_Hunter_to_a_Rookie_Scale_Contract.2015-07-27	0.0	Signing 945528 	1626154.0	1610612738.0	2015-07-27	Boston Celtics re-signed guard RJ Hunter to a Rookie Scale Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_re-signed_guard_Terry_Rozier_to_a_Rookie_Scale_Contract.2015-07-27	0.0	Signing 945527 	1626179.0	1610612738.0	2015-07-27	Boston Celtics re-signed guard Terry Rozier to a Rookie Scale Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_received_draft_consideration_from_Miami_Heat.2015-07-27	1610612748.0	Trade 2015015 	0.0	1610612738.0	2015-07-27	Boston Celtics received draft consideration from Miami Heat.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_received_draft_consideration_from_Oklahoma_City_Thunder.2015-07-14	1610612760.0	Trade 2015011 	0.0	1610612738.0	2015-07-14	Boston Celtics received draft consideration from Oklahoma City Thunder.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_received_forward_David_Lee_from_Golden_State_Warriors.2015-07-27	1610612744.0	Trade 2015016 	101135.0	1610612738.0	2015-07-27	Boston Celtics received forward David Lee from Golden State Warriors.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_received_forward_Perry_Jones_III_from_Oklahoma_City_Thunder.2015-07-14	1610612760.0	Trade 2015011 	203103.0	1610612738.0	2015-07-14	Boston Celtics received forward Perry Jones III from Oklahoma City Thunder.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_received_guard_Zoran_Dragic_from_Miami_Heat.2015-07-27	1610612748.0	Trade 2015015 	204054.0	1610612738.0	2015-07-27	Boston Celtics received guard Zoran Dragic from Miami Heat.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_signed_forward_Amir_Johnson_to_a_Contract.2015-07-09	0.0	Signing 945036 	101161.0	1610612738.0	2015-07-09	Boston Celtics signed forward Amir Johnson to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_signed_forward_Coty_Clarke_to_a_10-Day_Contract.2016-03-07	0.0	Signing 972635 	1626262.0	1610612738.0	2016-03-07	Boston Celtics signed forward Coty Clarke to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_signed_forward_Coty_Clarke_to_a_10-Day_Contract.2016-03-17	0.0	Signing 973049 	1626262.0	1610612738.0	2016-03-17	Boston Celtics signed forward Coty Clarke to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_signed_forward_Malcolm_Miller_to_a_Contract.2015-08-06	0.0	Signing 945933 	1626259.0	1610612738.0	2015-08-06	Boston Celtics signed forward Malcolm Miller to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_signed_guard_Corey_Walden_to_a_Contract.2015-08-03	0.0	Signing 945864 	1626258.0	1610612738.0	2015-08-03	Boston Celtics signed guard Corey Walden to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_signed_guard_John_Holland_to_a_Rest-of-Season_Contract.2016-04-11	0.0	Signing 973683 	204066.0	1610612738.0	2016-04-11	Boston Celtics signed guard John Holland to a Rest-of-Season Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_signed_guard_Levi_Randolph_to_a_Contract.2015-08-12	0.0	Signing 945980 	1626260.0	1610612738.0	2015-08-12	Boston Celtics signed guard Levi Randolph to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_Coty_Clarke.2015-10-20	0.0	Waive 957661 	1626262.0	1610612738.0	2015-10-20	Boston Celtics waived forward Coty Clarke.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_David_Lee.2016-02-19	0.0	Waive 972073 	101135.0	1610612738.0	2016-02-19	Boston Celtics waived forward David Lee.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_Malcolm_Miller.2015-10-20	0.0	Waive 957662 	1626259.0	1610612738.0	2015-10-20	Boston Celtics waived forward Malcolm Miller.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_Perry_Jones_III.2015-10-24	0.0	Waive 957996 	203103.0	1610612738.0	2015-10-24	Boston Celtics waived forward Perry Jones III.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_guard_Corey_Walden.2015-10-24	0.0	Waive 957997 	1626258.0	1610612738.0	2015-10-24	Boston Celtics waived guard Corey Walden.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_guard_Levi_Randolph.2015-10-20	0.0	Waive 957664 	1626260.0	1610612738.0	2015-10-20	Boston Celtics waived guard Levi Randolph.	Waive	
