task_type	task_name	url	description	tag	external_id	external_id_old
/common/topic	Atlanta Hawks re-signed center Walter Tavares to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks re-signed center Walter Tavares to a Contract. # Transaction_Date: 2015-07-09 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150709#Signing 945012#Atlanta Hawks re-signed center Walter Tavares to a Contract.	20150709#Signing 945012 #1610612737.0#Atlanta Hawks re-signed center Walter Tavares to a Contract.
/common/topic	Atlanta Hawks re-signed forward Paul Millsap to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks re-signed forward Paul Millsap to a Contract. # Transaction_Date: 2015-07-09 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150709#Signing 944974#Atlanta Hawks re-signed forward Paul Millsap to a Contract.	20150709#Signing 944974 #1610612737.0#Atlanta Hawks re-signed forward Paul Millsap to a Contract.
/common/topic	Atlanta Hawks re-signed guard Lamar Patterson to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks re-signed guard Lamar Patterson to a Contract. # Transaction_Date: 2015-07-22 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150722#Signing 945329#Atlanta Hawks re-signed guard Lamar Patterson to a Contract.	20150722#Signing 945329 #1610612737.0#Atlanta Hawks re-signed guard Lamar Patterson to a Contract.
/common/topic	Atlanta Hawks received center Tiago Splitter from San Antonio Spurs.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks received center Tiago Splitter from San Antonio Spurs. # Transaction_Date: 2015-07-09 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150709#Trade 2015001#Atlanta Hawks received center Tiago Splitter from San Antonio Spurs.	20150709#Trade 2015001 #1610612737.0#Atlanta Hawks received center Tiago Splitter from San Antonio Spurs.
/common/topic	Atlanta Hawks received guard Kirk Hinrich from Chicago Bulls.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks received guard Kirk Hinrich from Chicago Bulls. # Transaction_Date: 2016-02-18 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20160218#Trade 2015034#Atlanta Hawks received guard Kirk Hinrich from Chicago Bulls.	20160218#Trade 2015034 #1610612737.0#Atlanta Hawks received guard Kirk Hinrich from Chicago Bulls.
/common/topic	Atlanta Hawks signed forward Kris Humphries to a Rest-of-Season Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks signed forward Kris Humphries to a Rest-of-Season Contract. # Transaction_Date: 2016-03-01 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20160301#Signing 972429#Atlanta Hawks signed forward Kris Humphries to a Rest-of-Season Contract.	20160301#Signing 972429 #1610612737.0#Atlanta Hawks signed forward Kris Humphries to a Rest-of-Season Contract.
/common/topic	Atlanta Hawks signed guard Justin Holiday to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks signed guard Justin Holiday to a Contract. # Transaction_Date: 2015-07-09 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150709#Signing 945039#Atlanta Hawks signed guard Justin Holiday to a Contract.	20150709#Signing 945039 #1610612737.0#Atlanta Hawks signed guard Justin Holiday to a Contract.
/common/topic	Atlanta Hawks signed guard Terran Petteway to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks signed guard Terran Petteway to a Contract. # Transaction_Date: 2015-07-23 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150723#Signing 945333#Atlanta Hawks signed guard Terran Petteway to a Contract.	20150723#Signing 945333 #1610612737.0#Atlanta Hawks signed guard Terran Petteway to a Contract.
/common/topic	Atlanta Hawks waived center Earl Barron.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks waived center Earl Barron. # Transaction_Date: 2015-10-24 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151024#Waive 957994#Atlanta Hawks waived center Earl Barron.	20151024#Waive 957994 #1610612737.0#Atlanta Hawks waived center Earl Barron.
/common/topic	Atlanta Hawks waived forward Arsalan Kazemi.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks waived forward Arsalan Kazemi. # Transaction_Date: 2015-10-10 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151010#Waive 957342#Atlanta Hawks waived forward Arsalan Kazemi.	20151010#Waive 957342 #1610612737.0#Atlanta Hawks waived forward Arsalan Kazemi.
/common/topic	Atlanta Hawks waived forward Austin Daye.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks waived forward Austin Daye. # Transaction_Date: 2015-07-09 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150709#Waive 944932#Atlanta Hawks waived forward Austin Daye.	20150709#Waive 944932 #1610612737.0#Atlanta Hawks waived forward Austin Daye.
/common/topic	Atlanta Hawks waived forward DeQuan Jones.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks waived forward DeQuan Jones. # Transaction_Date: 2015-10-24 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151024#Waive 957995#Atlanta Hawks waived forward DeQuan Jones.	20151024#Waive 957995 #1610612737.0#Atlanta Hawks waived forward DeQuan Jones.
/common/topic	Atlanta Hawks waived guard Edgar Sosa.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks waived guard Edgar Sosa. # Transaction_Date: 2015-10-10 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151010#Waive 957343#Atlanta Hawks waived guard Edgar Sosa.	20151010#Waive 957343 #1610612737.0#Atlanta Hawks waived guard Edgar Sosa.
