url	Date	Player Name	Postion	Team	Team_ID	Transaction_description
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Abou_Toure2016-1-05Practice_Squad	2016-1-05	Abou Toure	RB	pittsburghsteelers	PIT	Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Abou_Toure2016-1-18Reserve/Future	2016-1-18	Abou Toure	RB	pittsburghsteelers	PIT	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Abry_Jones2016-1-01Reserve/Injured	2016-1-01	Abry Jones	DT	jacksonvillejaguars	JAX	Reserve/Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Adrien_Robinson2016-1-11Reserve/Future	2016-1-11	Adrien Robinson	TE	newyorkgiants	NYG	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Al_Louis-Jean2016-1-11Reserve/Future	2016-1-11	Al Louis-Jean	DB	washingtonredskins	WAS	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Alameda_Ta\047amu2016-1-05Reserve/Future	2016-1-05	Alameda Ta'amu	NT	arizonacardinals	ARZ	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Alden_Darby2016-1-05Reserve/Future	2016-1-05	Alden Darby	DB	neworleanssaints	NO	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Alex_Okafor2016-1-12Reserve/Non-Football_Injury	2016-1-12	Alex Okafor	OLB	arizonacardinals	ARZ	Reserve/Non-Football Injury	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Alex_Singleton2016-1-11Reserve/Future	2016-1-11	Alex Singleton	LB	minnesotavikings	MIN	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Andre_Davis2016-1-05Reserve/Future	2016-1-05	Andre Davis	WR	tampabaybuccaneers	TB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Andrew_East2016-1-04Reserve/Future	2016-1-04	Andrew East	LS	kansascitychiefs	KC	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Andrew_McDonald2016-1-05Free_Agent_Signing	2016-1-05	Andrew McDonald	OL	houstontexans	HOU	Free Agent Signing	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Andrew_McDonald2016-1-05Terminated_(by_Player)_from_Practice_Squad	2016-1-05	Andrew McDonald	OL	houstontexans	HOU	Terminated (by Player) from Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Andrew_Quarless2016-1-15Reserve/Injured	2016-1-15	Andrew Quarless	TE	greenbaypackers	GB	Reserve/Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Anthony_Johnson2016-1-11Reserve/Future	2016-1-11	Anthony Johnson	DT	washingtonredskins	WAS	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Anthony_Steen2016-1-05Reserve/Future	2016-1-05	Anthony Steen	OG	miamidolphins	MIA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Antoine_Everett2016-1-05Reserve/Future	2016-1-05	Antoine Everett	OG	tampabaybuccaneers	TB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Antoine_McClain2016-1-26Reserve/Future	2016-1-26	Antoine McClain	G	arizonacardinals	ARZ	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Antwan_Goodley2016-1-18Reserve/Future	2016-1-18	Antwan Goodley	WR	seattleseahawks	SEA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Arthur_Lynch2016-1-04Suspension_Lifted_by_Commissioner	2016-1-04	Arthur Lynch	TE	denverbroncos	DEN	Suspension Lifted by Commissioner	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Asa_Jackson2016-1-28Reserve/Future	2016-1-28	Asa Jackson	DB	cincinnatibengals	CIN	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ashaad_Mabry2016-1-05Reserve/Future	2016-1-05	Ashaad Mabry	DL	neworleanssaints	NO	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Austin_Reiter2016-1-11Reserve/Future	2016-1-11	Austin Reiter	C	washingtonredskins	WAS	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Austin_Willis2016-1-21Reserve/Future	2016-1-21	Austin Willis	WR	buffalobills	BUF	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# BJ_Dubose2016-1-06Free_Agent_Signing	2016-1-06	BJ Dubose	DE	minnesotavikings	MIN	Free Agent Signing	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# BJ_Dubose2016-1-06Terminated_(by_Player)_from_Practice_Squad	2016-1-06	BJ Dubose	DE	minnesotavikings	MIN	Terminated (by Player) from Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# BJ_Finney2016-1-18Reserve/Future	2016-1-18	BJ Finney	C	pittsburghsteelers	PIT	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# BJ_McBryde2016-1-05Practice_Squad;_Injured	2016-1-05	BJ McBryde	DE	greenbaypackers	GB	Practice Squad; Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# BJ_McBryde2016-1-19Reserve/Future	2016-1-19	BJ McBryde	DE	greenbaypackers	GB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Beckwith2016-1-01Waived,_No_Recall	2016-1-01	Ben Beckwith	G	sandiegochargers	SD	Waived, No Recall	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Gardner2016-1-04Reserve/Future	2016-1-04	Ben Gardner	DE	sandiegochargers	SD	Reserve/Future	
