task_type	task_name	url	description	tag	external_id	external_id_old
/american_football/football_player	Abou Toure	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Abou_Toure2016-1-05Practice_Squad	*Find or create each transaction and curate as per guidelines* Player Name: Abou Toure # Team: pittsburghsteelers # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Abou_Toure2016-1-05Practice_Squad	SPLGROUSNfl	2016105#Abou Toure#pittsburghsteelers#Practice Squad	2016105#Abou Toure#pittsburghsteelers
/american_football/football_player	Abou Toure	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Abou_Toure2016-1-18Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Abou Toure # Team: pittsburghsteelers # Date: 2016-1-18 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Abou_Toure2016-1-18Reserve/Future	SPLGROSTNfl	2016118#Abou Toure#pittsburghsteelers#Reserve/Future	2016118#Abou Toure#pittsburghsteelers
/american_football/football_player	Abry Jones	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Abry_Jones2016-1-01Reserve/Injured	*Find or create each transaction and curate as per guidelines* Player Name: Abry Jones # Team: jacksonvillejaguars # Date: 2016-1-01 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Abry_Jones2016-1-01Reserve/Injured	SPLGROUSNflMar14	2016101#Abry Jones#jacksonvillejaguars#Reserve/Injured	2016101#Abry Jones#jacksonvillejaguars
/american_football/football_player	Adrien Robinson	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Adrien_Robinson2016-1-11Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Adrien Robinson # Team: newyorkgiants # Date: 2016-1-11 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Adrien_Robinson2016-1-11Reserve/Future	SPLGROSTNfl	2016111#Adrien Robinson#newyorkgiants#Reserve/Future	2016111#Adrien Robinson#newyorkgiants
/american_football/football_player	Al Louis-Jean	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Al_Louis-Jean2016-1-11Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Al Louis-Jean # Team: washingtonredskins # Date: 2016-1-11 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Al_Louis-Jean2016-1-11Reserve/Future	SPLGROSTNfl	2016111#Al Louis-Jean#washingtonredskins#Reserve/Future	2016111#Al Louis-Jean#washingtonredskins
/american_football/football_player	Alameda Ta'amu	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alameda_Ta\047amu2016-1-05Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Alameda Ta'amu # Team: arizonacardinals # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alameda_Ta\047amu2016-1-05Reserve/Future	SPLGROSTNfl	2016105#Alameda Ta'amu#arizonacardinals#Reserve/Future	2016105#Alameda Ta'amu#arizonacardinals
/american_football/football_player	Alden Darby	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alden_Darby2016-1-05Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Alden Darby # Team: neworleanssaints # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alden_Darby2016-1-05Reserve/Future	SPLGROSTNfl	2016105#Alden Darby#neworleanssaints#Reserve/Future	2016105#Alden Darby#neworleanssaints
/american_football/football_player	Alex Okafor	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alex_Okafor2016-1-12Reserve/Non-Football_Injury	*Find or create each transaction and curate as per guidelines* Player Name: Alex Okafor # Team: arizonacardinals # Date: 2016-1-12 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alex_Okafor2016-1-12Reserve/Non-Football_Injury	SPLGROUSNflMar14	2016112#Alex Okafor#arizonacardinals#Reserve/Non-Football Injury	2016112#Alex Okafor#arizonacardinals
/american_football/football_player	Alex Singleton	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alex_Singleton2016-1-11Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Alex Singleton # Team: minnesotavikings # Date: 2016-1-11 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Alex_Singleton2016-1-11Reserve/Future	SPLGROSTNfl	2016111#Alex Singleton#minnesotavikings#Reserve/Future	2016111#Alex Singleton#minnesotavikings
/american_football/football_player	Andre Davis	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andre_Davis2016-1-05Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Andre Davis # Team: tampabaybuccaneers # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andre_Davis2016-1-05Reserve/Future	SPLGROSTNfl	2016105#Andre Davis#tampabaybuccaneers#Reserve/Future	2016105#Andre Davis#tampabaybuccaneers
/american_football/football_player	Andrew East	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_East2016-1-04Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Andrew East # Team: kansascitychiefs # Date: 2016-1-04 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_East2016-1-04Reserve/Future	SPLGROSTNfl	2016104#Andrew East#kansascitychiefs#Reserve/Future	2016104#Andrew East#kansascitychiefs
/american_football/football_player	Andrew McDonald	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_McDonald2016-1-05Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Andrew McDonald # Team: houstontexans # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_McDonald2016-1-05Free_Agent_Signing	SPLGROSTNfl	2016105#Andrew McDonald#houstontexans#Free Agent Signing	2016105#Andrew McDonald#houstontexans
/american_football/football_player	Andrew McDonald	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_McDonald2016-1-05Terminated_(by_Player)_from_Practice_Squad	*Find or create each transaction and curate as per guidelines* Player Name: Andrew McDonald # Team: houstontexans # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_McDonald2016-1-05Terminated_(by_Player)_from_Practice_Squad	SPLGROUSNfl	2016105#Andrew McDonald#houstontexans#Terminated (by Player) from Practice Squad	2016105#Andrew McDonald#houstontexans
/american_football/football_player	Andrew Quarless	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_Quarless2016-1-15Reserve/Injured	*Find or create each transaction and curate as per guidelines* Player Name: Andrew Quarless # Team: greenbaypackers # Date: 2016-1-15 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Andrew_Quarless2016-1-15Reserve/Injured	SPLGROUSNflMar14	2016115#Andrew Quarless#greenbaypackers#Reserve/Injured	2016115#Andrew Quarless#greenbaypackers
/american_football/football_player	Anthony Johnson	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Anthony_Johnson2016-1-11Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Anthony Johnson # Team: washingtonredskins # Date: 2016-1-11 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Anthony_Johnson2016-1-11Reserve/Future	SPLGROSTNfl	2016111#Anthony Johnson#washingtonredskins#Reserve/Future	2016111#Anthony Johnson#washingtonredskins
/american_football/football_player	Anthony Steen	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Anthony_Steen2016-1-05Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Anthony Steen # Team: miamidolphins # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Anthony_Steen2016-1-05Reserve/Future	SPLGROSTNfl	2016105#Anthony Steen#miamidolphins#Reserve/Future	2016105#Anthony Steen#miamidolphins
/american_football/football_player	Antoine Everett	http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Antoine_Everett2016-1-05Reserve/Future	*Find or create each transaction and curate as per guidelines* Player Name: Antoine Everett # Team: tampabaybuccaneers # Date: 2016-1-05 # URL: http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr=#Antoine_Everett2016-1-05Reserve/Future	SPLGROSTNfl	2016105#Antoine Everett#tampabaybuccaneers#Reserve/Future	2016105#Antoine Everett#tampabaybuccaneers
