task_type	task_name	url	description	tag	external_id
/soccer/football_player	Alexander Milosevic	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Alexander_Milosevic	*Find or create each transaction and curateas per guidelines* Player Name: Alexander Milosevic # From Team: Besiktas JK # To Team: Hannover 96 # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Alexander_Milosevic	SPLGROSTGerFeb01	20160201#Alexander Milosevic#Besiktas JK#Hannover 96
/soccer/football_player	Alfred Finnbogason	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Alfred_Finnbogason	*Find or create each transaction and curateas per guidelines* Player Name: Alfred Finnbogason # From Team: Real Sociedad # To Team: FC Augsburg # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Alfred_Finnbogason	SPLGROSTGerFeb01	20160201#Alfred Finnbogason#Real Sociedad#FC Augsburg
/soccer/football_player	Benjamin Uphoff	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Benjamin_Uphoff	*Find or create each transaction and curateas per guidelines* Player Name: Benjamin Uphoff # From Team: VfB Stuttgart II # To Team: VfB Stuttgart # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Benjamin_Uphoff	SPLGROSTGerFeb01	20160201#Benjamin Uphoff#VfB Stuttgart II#VfB Stuttgart
/soccer/football_player	Borys Tashchy	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Borys_Tashchy	*Find or create each transaction and curateas per guidelines* Player Name: Borys Tashchy # From Team: VfB Stuttgart II # To Team: VfB Stuttgart # Transaction Date: 2016-02-11 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Borys_Tashchy	SPLGROSTGerFeb01	20160211#Borys Tashchy#VfB Stuttgart II#VfB Stuttgart
/soccer/football_player	Federico Barba	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Federico_Barba	*Find or create each transaction and curateas per guidelines* Player Name: Federico Barba # From Team: FC Empoli # To Team: VfB Stuttgart # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Federico_Barba	SPLGROSTGerFeb01	20160201#Federico Barba#FC Empoli#VfB Stuttgart
/soccer/football_player	Felix Platte	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Felix_Platte	*Find or create each transaction and curateas per guidelines* Player Name: Felix Platte # From Team: FC Schalke 04 # To Team: SV Darmstadt 98 # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Felix_Platte	SPLGROSTGerFeb01	20160201#Felix Platte#FC Schalke 04#SV Darmstadt 98
/soccer/football_player	Josip Drmic	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Josip_Drmic	*Find or create each transaction and curateas per guidelines* Player Name: Josip Drmic # From Team: Borussia Mönchengladbach # To Team: Hamburger SV # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Josip_Drmic	SPLGROSTGerFeb01	20160201#Josip Drmic#Borussia Mönchengladbach#Hamburger SV
/soccer/football_player	Leandro Putaro	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Leandro_Putaro	*Find or create each transaction and curateas per guidelines* Player Name: Leandro Putaro # From Team: VfL Wolfsburg U19 # To Team: VfL Wolfsburg # Transaction Date: 2016-02-26 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Leandro_Putaro	SPLGROSTGerFeb01	20160226#Leandro Putaro#VfL Wolfsburg U19#VfL Wolfsburg
/soccer/football_player	Marcelo	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Marcelo	*Find or create each transaction and curateas per guidelines* Player Name: Marcelo # From Team: Hannover 96 # To Team: Besiktas JK # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Marcelo	SPLGROSTGerFeb01	20160201#Marcelo#Hannover 96#Besiktas JK
/soccer/football_player	Maximilian Beister	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Maximilian_Beister	*Find or create each transaction and curateas per guidelines* Player Name: Maximilian Beister # From Team: 1.FSV Mainz 05 # To Team: TSV 1860 Munich # Transaction Date: 2016-02-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/Maximilian_Beister	SPLGROSTGerFeb01	20160201#Maximilian Beister#1.FSV Mainz 05#TSV 1860 Munich
