task_type	task_name	url	description	tag	external_id
/common/topic	Los Angeles Dodgers sent 2B Howie Kendrick on a rehab assignment to Rancho Cucamonga Quakes.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Howie Kendrick # Team Name: Rancho Cucamonga Quakes # Type: Assigned # Transaction: Los Angeles Dodgers sent 2B Howie Kendrick on a rehab assignment to Rancho Cucamonga Quakes. # Transaction date: 2016-04-07	SPLGROSTMlb	261282#Howie Kendrick#Rancho Cucamonga Quakes#Assigned
/common/topic	Cleveland Indians sent RHP Tommy Hunter on a rehab assignment to Columbus Clippers.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Tommy Hunter # Team Name: Columbus Clippers # Type: Assigned # Transaction: Cleveland Indians sent RHP Tommy Hunter on a rehab assignment to Columbus Clippers. # Transaction date: 2016-04-07	SPLGROSTMlb	261370#Tommy Hunter#Columbus Clippers#Assigned
/common/topic	Detroit Tigers sent RHP Alex Wilson on a rehab assignment to Lakeland Flying Tigers.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Alex Wilson # Team Name: Lakeland Flying Tigers # Type: Assigned # Transaction: Detroit Tigers sent RHP Alex Wilson on a rehab assignment to Lakeland Flying Tigers. # Transaction date: 2016-04-07	SPLGROSTMlb	261337#Alex Wilson#Lakeland Flying Tigers#Assigned
/common/topic	Los Angeles Dodgers sent C Yasmani Grandal on a rehab assignment to Oklahoma City Dodgers.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Yasmani Grandal # Team Name: Oklahoma City Dodgers # Type: Assigned # Transaction: Los Angeles Dodgers sent C Yasmani Grandal on a rehab assignment to Oklahoma City Dodgers. # Transaction date: 2016-04-07	SPLGROSTMlb	261239#Yasmani Grandal#Oklahoma City Dodgers#Assigned
/common/topic	Houston Astros sent OF Evan Gattis on a rehab assignment to Corpus Christi Hooks.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Evan Gattis # Team Name: Corpus Christi Hooks # Type: Assigned # Transaction: Houston Astros sent OF Evan Gattis on a rehab assignment to Corpus Christi Hooks. # Transaction date: 2016-04-07	SPLGROSTMlb	261317#Evan Gattis#Corpus Christi Hooks#Assigned
/common/topic	Cincinnati Reds sent RHP Jon Moscot on a rehab assignment to Daytona Tortugas.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Jon Moscot # Team Name: Daytona Tortugas # Type: Assigned # Transaction: Cincinnati Reds sent RHP Jon Moscot on a rehab assignment to Daytona Tortugas. # Transaction date: 2016-04-07	SPLGROSTMlb	261371#Jon Moscot#Daytona Tortugas#Assigned
/common/topic	Cleveland Indians sent RF Lonnie Chisenhall on a rehab assignment to Columbus Clippers.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Lonnie Chisenhall # Team Name: Columbus Clippers # Type: Assigned # Transaction: Cleveland Indians sent RF Lonnie Chisenhall on a rehab assignment to Columbus Clippers. # Transaction date: 2016-04-07	SPLGROSTMlb	261167#Lonnie Chisenhall#Columbus Clippers#Assigned
/common/topic	Detroit Tigers sent OF Cameron Maybin on a rehab assignment to Lakeland Flying Tigers.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Cameron Maybin # Team Name: Lakeland Flying Tigers # Type: Assigned # Transaction: Detroit Tigers sent OF Cameron Maybin on a rehab assignment to Lakeland Flying Tigers. # Transaction date: 2016-04-07	SPLGROSTMlb	261336#Cameron Maybin#Lakeland Flying Tigers#Assigned
/common/topic	Baltimore Orioles sent LHP Brian Matusz on a rehab assignment to Bowie Baysox.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Brian Matusz # Team Name: Bowie Baysox # Type: Assigned # Transaction: Baltimore Orioles sent LHP Brian Matusz on a rehab assignment to Bowie Baysox. # Transaction date: 2016-04-07	SPLGROSTMlb	261335#Brian Matusz#Bowie Baysox#Assigned
/common/topic	Houston Astros designated RHP Danny Reynolds for assignment.	http://www.mlb.com/mlb/transactions/#month=4&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Danny Reynolds # Team Name: Houston Astros # Type: Designated for Assignment # Transaction: Houston Astros designated RHP Danny Reynolds for assignment. # Transaction date: 2016-04-07	SPLGROSTMlb	261320#Danny Reynolds#Houston Astros#Designated for Assignment
