task_type	task_name	url	description	tag	external_id
/soccer/football_player	Benedikt Saller	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Benedikt_Saller	*Find or create each transaction and curateas per guidelines* Player Name: Benedikt Saller # From Team: 1.FSV Mainz 05 # To Team: 1.FSV Mainz 05 II # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Benedikt_Saller	SPLGROSTGerFeb01	20150701#Benedikt Saller#1.FSV Mainz 05#1.FSV Mainz 05 II
/soccer/football_player	Charlison Benschop	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Charlison_Benschop	*Find or create each transaction and curateas per guidelines* Player Name: Charlison Benschop # From Team: Fortuna Düsseldorf # To Team: Hannover 96 # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Charlison_Benschop	SPLGROSTGerFeb01	20150701#Charlison Benschop#Fortuna Düsseldorf#Hannover 96
/soccer/football_player	Christian Pander	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Christian_Pander	*Find or create each transaction and curateas per guidelines* Player Name: Christian Pander # From Team: Hannover 96 # To Team: Unattached # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Christian_Pander	SPLGROSTGerFeb01	20150701#Christian Pander#Hannover 96#Unattached
/soccer/football_player	Danny Latza	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Danny_Latza	*Find or create each transaction and curateas per guidelines* Player Name: Danny Latza # From Team: VfL Bochum # To Team: 1.FSV Mainz 05 # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Danny_Latza	SPLGROSTGerFeb01	20150701#Danny Latza#VfL Bochum#1.FSV Mainz 05
/soccer/football_player	Didier Ya Konan	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Didier_Ya_Konan	*Find or create each transaction and curateas per guidelines* Player Name: Didier Ya Konan # From Team: Hannover 96 # To Team: Fortuna Düsseldorf # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Didier_Ya_Konan	SPLGROSTGerFeb01	20150701#Didier Ya Konan#Hannover 96#Fortuna Düsseldorf
/soccer/football_player	Felix Klaus	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Felix_Klaus	*Find or create each transaction and curateas per guidelines* Player Name: Felix Klaus # From Team: SC Freiburg # To Team: Hannover 96 # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Felix_Klaus	SPLGROSTGerFeb01	20150701#Felix Klaus#SC Freiburg#Hannover 96
/soccer/football_player	Finn Porath	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Finn_Porath	*Find or create each transaction and curateas per guidelines* Player Name: Finn Porath # From Team: Hamburger SV U19 # To Team: Hamburger SV # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Finn_Porath	SPLGROSTGerFeb01	20150701#Finn Porath#Hamburger SV U19#Hamburger SV
/soccer/football_player	Florian Niederlechner	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Florian_Niederlechner	*Find or create each transaction and curateas per guidelines* Player Name: Florian Niederlechner # From Team: 1.FC Heidenheim 1846 # To Team: 1.FSV Mainz 05 # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Florian_Niederlechner	SPLGROSTGerFeb01	20150701#Florian Niederlechner#1.FC Heidenheim 1846#1.FSV Mainz 05
/soccer/football_player	Jan Schlaudraff	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Jan_Schlaudraff	*Find or create each transaction and curateas per guidelines* Player Name: Jan Schlaudraff # From Team: Hannover 96 # To Team: End of career # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Jan_Schlaudraff	SPLGROSTGerFeb01	20150701#Jan Schlaudraff#Hannover 96#End of career
/soccer/football_player	Jannik Huth	http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Jannik_Huth	*Find or create each transaction and curateas per guidelines* Player Name: Jannik Huth # From Team: 1.FSV Mainz 05 II # To Team: 1.FSV Mainz 05 # Transaction Date: 2016-07-01 # URL: http://www.transfermarkt.co.uk/1-bundesliga/letztetransfers/wettbewerb/L1/plus/1/page/14/Jannik_Huth	SPLGROSTGerFeb01	20150701#Jannik Huth#1.FSV Mainz 05 II#1.FSV Mainz 05
